dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,budget_fraction,restricted_precision,full_precision,precision_difference,restricted_recall,full_recall,recall_difference,true_alert_difference,false_alert_difference,alert_intersection,alert_union,alert_jaccard_vs_full,retained_full_alert_fraction
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_original,full,day42__strict_original__standard,day42__full__standard,0.05,0.7850877192982456,0.9035087719298246,-0.11842105263157898,0.09988839285714286,0.11495535714285714,-0.015066964285714274,-54,54,224,688,0.32558139534883723,0.49122807017543857
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_original,full,day42__strict_original__standard,day42__full__standard,0.1,0.736784140969163,0.8469162995594713,-0.11013215859030834,0.18666294642857142,0.21456473214285715,-0.027901785714285726,-100,100,517,1299,0.39799846035411857,0.5693832599118943
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_original,full,day42__strict_original__standard,day42__full__standard,0.2,0.6427388183324131,0.7404748757592491,-0.097736057426836,0.3247767857142857,0.37416294642857145,-0.049386160714285754,-177,177,1112,2510,0.44302788844621516,0.6140254003313087
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_original,full,day42__strict_original__standard,day42__full__standard,0.3,0.5813696612665685,0.6734167893961709,-0.09204712812960236,0.44056919642857145,0.5103236607142857,-0.06975446428571425,-250,250,1756,3676,0.4776931447225245,0.646539027982327
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_typed_alternative,full,day42__strict_typed_alternative__standard,day42__full__standard,0.05,0.8201754385964912,0.9035087719298246,-0.08333333333333337,0.10435267857142858,0.11495535714285714,-0.010602678571428562,-38,38,236,676,0.34911242603550297,0.5175438596491229
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_typed_alternative,full,day42__strict_typed_alternative__standard,day42__full__standard,0.1,0.737885462555066,0.8469162995594713,-0.1090308370044053,0.18694196428571427,0.21456473214285715,-0.027622767857142877,-99,99,517,1299,0.39799846035411857,0.5693832599118943
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_typed_alternative,full,day42__strict_typed_alternative__standard,day42__full__standard,0.2,0.6537824406405301,0.7404748757592491,-0.08669243511871894,0.33035714285714285,0.37416294642857145,-0.0438058035714286,-157,157,1130,2492,0.4534510433386838,0.623964660408614
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_typed_alternative,full,day42__strict_typed_alternative__standard,day42__full__standard,0.3,0.5891016200294551,0.6734167893961709,-0.08431516936671579,0.44642857142857145,0.5103236607142857,-0.06389508928571425,-229,229,1782,3650,0.4882191780821918,0.6561119293078056
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,full,day56__minimized__standard,day56__full__standard,0.05,0.9484304932735426,0.9506726457399103,-0.0022421524663677195,0.12368421052631579,0.1239766081871345,-0.000292397660818719,-1,1,338,554,0.6101083032490975,0.757847533632287
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,full,day56__minimized__standard,day56__full__standard,0.1,0.903370786516854,0.9,0.003370786516853963,0.23508771929824562,0.23421052631578948,0.0008771929824561431,3,-3,781,999,0.7817817817817818,0.8775280898876404
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,full,day56__minimized__standard,day56__full__standard,0.2,0.7800899887514061,0.7896512935883014,-0.009561304836895324,0.40555555555555556,0.4105263157894737,-0.004970760233918126,-17,17,1590,1966,0.8087487283825026,0.8942632170978627
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,full,day56__minimized__standard,day56__full__standard,0.3,0.6635408852213053,0.6834208552138035,-0.019879969992498192,0.5172514619883041,0.5327485380116959,-0.015497076023391787,-53,53,2254,3078,0.7322936972059779,0.8454613653413353
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,partial_gender_disability,full,day56__partial_gender_disability__standard,day56__full__standard,0.05,0.9484304932735426,0.9506726457399103,-0.0022421524663677195,0.12368421052631579,0.1239766081871345,-0.000292397660818719,-1,1,411,481,0.8544698544698545,0.92152466367713
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,partial_gender_disability,full,day56__partial_gender_disability__standard,day56__full__standard,0.1,0.902247191011236,0.9,0.0022471910112359383,0.2347953216374269,0.23421052631578948,0.0005847953216374102,2,-2,855,925,0.9243243243243243,0.9606741573033708
