dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,metric,restricted,full,difference
uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__baseline__no_sensitive_wellbeing__logistic,uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,brier,0.21162764811158408,0.2134915837461124,-0.0018639356345283298
uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,school_observable_only,full,uci320__mathematics__fail_g3_lt_10__baseline__school_observable_only__logistic,uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,average_precision,0.4959583235525886,0.45089903762114153,0.04505928593144709
uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,school_observable_only,full,uci320__mathematics__fail_g3_lt_10__baseline__school_observable_only__logistic,uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,auroc,0.6470391872278667,0.6375616835994196,0.009477503628447126
uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,school_observable_only,full,uci320__mathematics__fail_g3_lt_10__baseline__school_observable_only__logistic,uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,brier,0.20976976469414801,0.2134915837461124,-0.0037218190519643923
uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,targeted_no_sex,full,uci320__mathematics__fail_g3_lt_10__baseline__targeted_no_sex__logistic,uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,average_precision,0.45663989458350035,0.45089903762114153,0.00574085696235882
uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,targeted_no_sex,full,uci320__mathematics__fail_g3_lt_10__baseline__targeted_no_sex__logistic,uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,auroc,0.6357619738751814,0.6375616835994196,-0.0017997097242381521
uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,targeted_no_sex,full,uci320__mathematics__fail_g3_lt_10__baseline__targeted_no_sex__logistic,uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,brier,0.21289005360694171,0.2134915837461124,-0.0006015301391706918
uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__period1__no_demographic_family__histgb,uci320__mathematics__fail_g3_lt_10__period1__full__histgb,average_precision,0.7953681997180941,0.8247413251271486,-0.029373125409054457
uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__period1__no_demographic_family__histgb,uci320__mathematics__fail_g3_lt_10__period1__full__histgb,auroc,0.9051959361393324,0.9060957910014514,-0.0008998548621190761
uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__period1__no_demographic_family__histgb,uci320__mathematics__fail_g3_lt_10__period1__full__histgb,brier,0.11869504228485465,0.11855871115967818,0.00013633112517646984
uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__period1__no_sensitive_wellbeing__histgb,uci320__mathematics__fail_g3_lt_10__period1__full__histgb,average_precision,0.8299220288257089,0.8247413251271486,0.005180703698560274
uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__period1__no_sensitive_wellbeing__histgb,uci320__mathematics__fail_g3_lt_10__period1__full__histgb,auroc,0.9119593613933237,0.9060957910014514,0.0058635703918722415
uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__period1__no_sensitive_wellbeing__histgb,uci320__mathematics__fail_g3_lt_10__period1__full__histgb,brier,0.11517620314503056,0.11855871115967818,-0.0033825080146476227
uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,school_observable_only,full,uci320__mathematics__fail_g3_lt_10__period1__school_observable_only__histgb,uci320__mathematics__fail_g3_lt_10__period1__full__histgb,average_precision,0.8091896514086763,0.8247413251271486,-0.015551673718472325
uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,school_observable_only,full,uci320__mathematics__fail_g3_lt_10__period1__school_observable_only__histgb,uci320__mathematics__fail_g3_lt_10__period1__full__histgb,auroc,0.9178955007256894,0.9060957910014514,0.011799709724237939
uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,school_observable_only,full,uci320__mathematics__fail_g3_lt_10__period1__school_observable_only__histgb,uci320__mathematics__fail_g3_lt_10__period1__full__histgb,brier,0.10817168992231173,0.11855871115967818,-0.010387021237366456
