dataset,subject,outcome,stage,policy,model,grid,analysis_group,config_id,source_prediction_sha256,budget_fraction,alerts,true_alerts,false_alerts,precision,recall,lift,exploratory
oulad,all,future_fail_or_withdrawn,day42,loo_no_imd_band,histgb,standard,leave_one_out,day42__loo_no_imd_band__standard,ac7c6693119239cf8a95261d21ee60f7ad152f31bf63aec6a23f1fd935dcced7,0.2,1811,1330,481,0.7344008834897846,0.37109375,1.8523950855880729,
oulad,all,future_fail_or_withdrawn,day42,loo_no_imd_band,histgb,standard,leave_one_out,day42__loo_no_imd_band__standard,ac7c6693119239cf8a95261d21ee60f7ad152f31bf63aec6a23f1fd935dcced7,0.3,2716,1808,908,0.6656848306332842,0.5044642857142857,1.679071112981275,
oulad,all,future_fail_or_withdrawn,day42,loo_no_region,histgb,standard,leave_one_out,day42__loo_no_region__standard,5ed9d7907ed8cdc7b8426968735551309efc2678617bb3532b8620d2ca8e4d6b,0.05,456,419,37,0.918859649122807,0.11690848214285714,2.31765938283208,
oulad,all,future_fail_or_withdrawn,day42,loo_no_region,histgb,standard,leave_one_out,day42__loo_no_region__standard,5ed9d7907ed8cdc7b8426968735551309efc2678617bb3532b8620d2ca8e4d6b,0.1,908,766,142,0.8436123348017621,0.21372767857142858,2.1278614694776588,
oulad,all,future_fail_or_withdrawn,day42,loo_no_region,histgb,standard,leave_one_out,day42__loo_no_region__standard,5ed9d7907ed8cdc7b8426968735551309efc2678617bb3532b8620d2ca8e4d6b,0.2,1811,1338,473,0.7388183324130315,0.37332589285714285,1.8635373116667984,
oulad,all,future_fail_or_withdrawn,day42,loo_no_region,histgb,standard,leave_one_out,day42__loo_no_region__standard,5ed9d7907ed8cdc7b8426968735551309efc2678617bb3532b8620d2ca8e4d6b,0.3,2716,1834,882,0.6752577319587629,0.51171875,1.7032170471281298,
oulad,all,future_fail_or_withdrawn,day42,minimized,histgb,standard,main,day42__minimized__standard,0e0c26dd2c8b6a7d272a6c3e1d4fc9ac17f4eb60e104910c114b4a530bb47255,0.05,456,420,36,0.9210526315789473,0.1171875,2.323190789473684,
oulad,all,future_fail_or_withdrawn,day42,minimized,histgb,standard,main,day42__minimized__standard,0e0c26dd2c8b6a7d272a6c3e1d4fc9ac17f4eb60e104910c114b4a530bb47255,0.1,908,762,146,0.8392070484581498,0.21261160714285715,2.1167499213341725,
oulad,all,future_fail_or_withdrawn,day42,minimized,histgb,standard,main,day42__minimized__standard,0e0c26dd2c8b6a7d272a6c3e1d4fc9ac17f4eb60e104910c114b4a530bb47255,0.2,1811,1332,479,0.7355052457205964,0.3716517857142857,1.8551806421077544,
oulad,all,future_fail_or_withdrawn,day42,minimized,histgb,standard,main,day42__minimized__standard,0e0c26dd2c8b6a7d272a6c3e1d4fc9ac17f4eb60e104910c114b4a530bb47255,0.3,2716,1788,928,0.658321060382916,0.49888392857142855,1.6604973174836946,
oulad,all,future_fail_or_withdrawn,day42,partial_gender_disability,histgb,standard,main,day42__partial_gender_disability__standard,df5582fbee189c267d52e210c40b64d43ce871f7cf5e4b4877b30a823dd372df,0.05,456,413,43,0.9057017543859649,0.115234375,2.2844709429824563,
oulad,all,future_fail_or_withdrawn,day42,partial_gender_disability,histgb,standard,main,day42__partial_gender_disability__standard,df5582fbee189c267d52e210c40b64d43ce871f7cf5e4b4877b30a823dd372df,0.1,908,765,143,0.8425110132158591,0.21344866071428573,2.1250835824417873,
oulad,all,future_fail_or_withdrawn,day42,partial_gender_disability,histgb,standard,main,day42__partial_gender_disability__standard,df5582fbee189c267d52e210c40b64d43ce871f7cf5e4b4877b30a823dd372df,0.2,1811,1343,468,0.7415792379900608,0.37472098214285715,1.8705012029660015,
oulad,all,future_fail_or_withdrawn,day42,partial_gender_disability,histgb,standard,main,day42__partial_gender_disability__standard,df5582fbee189c267d52e210c40b64d43ce871f7cf5e4b4877b30a823dd372df,0.3,2716,1823,893,0.6712076583210603,0.5086495535714286,1.6930014596044602,
oulad,all,future_fail_or_withdrawn,day42,strict_enriched_due_process,histgb,expanded,strict,day42__strict_enriched_due_process__expanded,aa152a9dff81ea143865da8f07d3513dfb018f574413a202ed827a116155f660,0.05,456,381,75,0.8355263157894737,0.10630580357142858,2.1074659304511276,
oulad,all,future_fail_or_withdrawn,day42,strict_enriched_due_process,histgb,expanded,strict,day42__strict_enriched_due_process__expanded,aa152a9dff81ea143865da8f07d3513dfb018f574413a202ed827a116155f660,0.1,908,674,234,0.7422907488986784,0.18805803571428573,1.8722958621774701,
oulad,all,future_fail_or_withdrawn,day42,strict_enriched_due_process,histgb,expanded,strict,day42__strict_enriched_due_process__expanded,aa152a9dff81ea143865da8f07d3513dfb018f574413a202ed827a116155f660,0.2,1811,1191,620,0.6576477084483711,0.33231026785714285,1.6587989074702216,
oulad,all,future_fail_or_withdrawn,day42,strict_enriched_due_process,histgb,expanded,strict,day42__strict_enriched_due_process__expanded,aa152a9dff81ea143865da8f07d3513dfb018f574413a202ed827a116155f660,0.3,2716,1629,1087,0.5997790868924889,0.4545200892857143,1.5128356432779297,
oulad,all,future_fail_or_withdrawn,day42,strict_enriched_due_process,histgb,standard,strict,day42__strict_enriched_due_process__standard,6a0cc6080cc10d3ad6bc95d6b1d6c0fb89581e185081ce84cc728c88250bc312,0.05,456,381,75,0.8355263157894737,0.10630580357142858,2.1074659304511276,
oulad,all,future_fail_or_withdrawn,day42,strict_enriched_due_process,histgb,standard,strict,day42__strict_enriched_due_process__standard,6a0cc6080cc10d3ad6bc95d6b1d6c0fb89581e185081ce84cc728c88250bc312,0.1,908,674,234,0.7422907488986784,0.18805803571428573,1.8722958621774701,
oulad,all,future_fail_or_withdrawn,day42,strict_enriched_due_process,histgb,standard,strict,day42__strict_enriched_due_process__standard,6a0cc6080cc10d3ad6bc95d6b1d6c0fb89581e185081ce84cc728c88250bc312,0.2,1811,1191,620,0.6576477084483711,0.33231026785714285,1.6587989074702216,
oulad,all,future_fail_or_withdrawn,day42,strict_enriched_due_process,histgb,standard,strict,day42__strict_enriched_due_process__standard,6a0cc6080cc10d3ad6bc95d6b1d6c0fb89581e185081ce84cc728c88250bc312,0.3,2716,1629,1087,0.5997790868924889,0.4545200892857143,1.5128356432779297,
oulad,all,future_fail_or_withdrawn,day42,strict_original,histgb,expanded,strict,day42__strict_original__expanded,a705a18c6ec3c266ed5b5d23ba8adf3c35290549548ccb845cc91a5658fea140,0.05,456,358,98,0.7850877192982456,0.09988839285714286,1.9802435776942355,
