dataset,subject,outcome,stage,policy,model,grid,analysis_group,config_id,source_prediction_sha256,n,risk_cases,prevalence,average_precision,auroc,brier,exploratory
uci320,portuguese,fail_g3_lt_10,baseline,no_sensitive_wellbeing,histgb,c13_selected,uci,uci320__portuguese__fail_g3_lt_10__baseline__no_sensitive_wellbeing__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,649,100,0.15408320493066255,0.39843213250868353,0.7990346083788706,0.11098221799650816,False
uci320,portuguese,fail_g3_lt_10,baseline,no_sensitive_wellbeing,logistic,c13_selected,uci,uci320__portuguese__fail_g3_lt_10__baseline__no_sensitive_wellbeing__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,649,100,0.15408320493066255,0.4162975153856825,0.7963387978142076,0.11053472823587311,False
uci320,portuguese,fail_g3_lt_10,baseline,school_observable_only,histgb,c13_selected,uci,uci320__portuguese__fail_g3_lt_10__baseline__school_observable_only__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,649,100,0.15408320493066255,0.37484957320793066,0.7619125683060108,0.11490973050680225,False
uci320,portuguese,fail_g3_lt_10,baseline,school_observable_only,logistic,c13_selected,uci,uci320__portuguese__fail_g3_lt_10__baseline__school_observable_only__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,649,100,0.15408320493066255,0.4273037254156258,0.8060018214936249,0.10872428202322158,False
uci320,portuguese,fail_g3_lt_10,baseline,targeted_no_sex,histgb,c13_selected,uci,uci320__portuguese__fail_g3_lt_10__baseline__targeted_no_sex__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,649,100,0.15408320493066255,0.4191650692903206,0.7906921675774135,0.10929706586712071,False
uci320,portuguese,fail_g3_lt_10,baseline,targeted_no_sex,logistic,c13_selected,uci,uci320__portuguese__fail_g3_lt_10__baseline__targeted_no_sex__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,649,100,0.15408320493066255,0.39411700743444944,0.7835701275045538,0.112313540536659,False
uci320,portuguese,fail_g3_lt_10,period1,full,histgb,c13_selected,uci,uci320__portuguese__fail_g3_lt_10__period1__full__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,649,100,0.15408320493066255,0.6631949152688829,0.9299271402550091,0.07200314203900375,False
uci320,portuguese,fail_g3_lt_10,period1,full,logistic,c13_selected,uci,uci320__portuguese__fail_g3_lt_10__period1__full__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,649,100,0.15408320493066255,0.6375528327627579,0.918488160291439,0.07918610220115291,False
uci320,portuguese,fail_g3_lt_10,period1,no_demographic_family,histgb,c13_selected,uci,uci320__portuguese__fail_g3_lt_10__period1__no_demographic_family__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,649,100,0.15408320493066255,0.6675851921257407,0.9336794171220402,0.07130952081433199,False
uci320,portuguese,fail_g3_lt_10,period1,no_demographic_family,logistic,c13_selected,uci,uci320__portuguese__fail_g3_lt_10__period1__no_demographic_family__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,649,100,0.15408320493066255,0.6582257429637024,0.9268123861566485,0.07666694453645916,False
