analysis_source,dataset,subject,outcome,stage,model,grid,contrast_name,contrast_id,family_id,tier,replicates,family_stage_count,metric,budget_fraction,family_size,draw_file,draw_key,estimate,pointwise_ci95_low,pointwise_ci95_high,familywise_bonferroni_low,familywise_bonferroni_high,bootstrap_sign_p_two_sided,bonferroni_adjusted_sign_p,familywise_excludes_zero
C14B_frozen,oulad,all,future_fail_or_withdrawn,day70,histgb,standard,partial_gender_disability,c14b__day70__partial_gender_disability__standard__minus__day70__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.2,24,draws/task_b8d7ef2aa7b4cb076770.npz,c001__precision_difference__0.20,-0.0005737234652897216,-0.008032128514056214,0.004027617951668616,-0.011491304586007405,0.0074669730040206606,0.6310737852429514,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day70,histgb,standard,partial_gender_disability,c14b__day70__partial_gender_disability__standard__minus__day70__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.3,24,draws/task_b8d7ef2aa7b4cb076770.npz,c001__precision_difference__0.30,-0.004212945231711895,-0.00804906094289004,0.0038182512409316027,-0.010741874899066766,0.0069081412352954424,0.5078984203159368,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day90,histgb,standard,partial_gender_disability,c14b__day90__partial_gender_disability__standard__minus__day90__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.05,24,draws/task_1152ad78c73405c9b109.npz,c001__precision_difference__0.05,-0.002331002331002363,-0.009302325581395321,0.006976744186046435,-0.01404471672612664,0.011655011655011593,1.0,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day90,histgb,standard,partial_gender_disability,c14b__day90__partial_gender_disability__standard__minus__day90__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.1,24,draws/task_1152ad78c73405c9b109.npz,c001__precision_difference__0.10,0.0035087719298245723,-0.008187374173137857,0.007025761124121788,-0.013734609669778793,0.011412841904925584,1.0,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day90,histgb,standard,partial_gender_disability,c14b__day90__partial_gender_disability__standard__minus__day90__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.2,24,draws/task_1152ad78c73405c9b109.npz,c001__precision_difference__0.20,0.0011709601873536313,-0.00642157655040349,0.005257009345794317,-0.009369760566227087,0.00875550840371626,0.8814237152569486,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day90,histgb,standard,partial_gender_disability,c14b__day90__partial_gender_disability__standard__minus__day90__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.3,24,draws/task_1152ad78c73405c9b109.npz,c001__precision_difference__0.30,0.0015612802498048417,-0.0035074045206546778,0.00545808966861594,-0.005763459637711824,0.007805139001032323,0.7298540291941612,1.0,False
C14B_frozen,uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_demographic_family,c14b__uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__histgb__minus__uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_demographic_family,primary,5000,3,precision_difference,0.05,12,draws/task_bae483f1ad59ceae8f87.npz,c000__precision_difference__0.05,-0.19047619047619047,-0.35,0.10000000000000003,-0.4653323412698413,0.2380952380952381,0.4331133773245351,1.0,False
C14B_frozen,uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_demographic_family,c14b__uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__histgb__minus__uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_demographic_family,primary,5000,3,precision_difference,0.1,12,draws/task_bae483f1ad59ceae8f87.npz,c000__precision_difference__0.10,-0.07499999999999996,-0.22499999999999998,0.09756097560975613,-0.29268292682926833,0.15000000000000002,0.5010997800439912,1.0,False
C14B_frozen,uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_demographic_family,c14b__uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__histgb__minus__uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_demographic_family,primary,5000,3,precision_difference,0.2,12,draws/task_bae483f1ad59ceae8f87.npz,c000__precision_difference__0.20,-0.012499999999999956,-0.10126582278481006,0.11249999999999999,-0.14481770833333335,0.16249999999999998,1.0,1.0,False
C14B_frozen,uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_demographic_family,c14b__uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__histgb__minus__uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_demographic_family,primary,5000,3,precision_difference,0.3,12,draws/task_bae483f1ad59ceae8f87.npz,c000__precision_difference__0.30,0.10084033613445381,0.00840336134453784,0.1512605042016807,-0.01680672268907568,0.19327731092436973,0.03159368126374725,0.379124175164967,False
C14B_frozen,uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,no_demographic_family,c14b__uci320__mathematics__fail_g3_lt_10__period1__no_demographic_family__histgb__minus__uci320__mathematics__fail_g3_lt_10__period1__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_demographic_family,primary,5000,3,precision_difference,0.05,12,draws/task_32134eb6a1685b11d062.npz,c000__precision_difference__0.05,-0.04761904761904767,-0.15000000000000002,0.0,-0.23809523809523814,0.04761904761904767,0.7510497900419916,1.0,False
C14B_frozen,uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,no_demographic_family,c14b__uci320__mathematics__fail_g3_lt_10__period1__no_demographic_family__histgb__minus__uci320__mathematics__fail_g3_lt_10__period1__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_demographic_family,primary,5000,3,precision_difference,0.1,12,draws/task_32134eb6a1685b11d062.npz,c000__precision_difference__0.10,-0.025000000000000022,-0.09999999999999998,0.07317073170731714,-0.125,0.10000000000000009,0.9510097980403919,1.0,False
C14B_frozen,uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,no_demographic_family,c14b__uci320__mathematics__fail_g3_lt_10__period1__no_demographic_family__histgb__minus__uci320__mathematics__fail_g3_lt_10__period1__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_demographic_family,primary,5000,3,precision_difference,0.2,12,draws/task_32134eb6a1685b11d062.npz,c000__precision_difference__0.20,-0.025000000000000022,-0.08750000000000002,0.04999999999999993,-0.125,0.07555577531645581,0.6646670665866826,1.0,False
C14B_frozen,uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,no_demographic_family,c14b__uci320__mathematics__fail_g3_lt_10__period1__no_demographic_family__histgb__minus__uci320__mathematics__fail_g3_lt_10__period1__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_demographic_family,primary,5000,3,precision_difference,0.3,12,draws/task_32134eb6a1685b11d062.npz,c000__precision_difference__0.30,0.025210084033613467,-0.03361344537815125,0.0672268907563025,-0.058620302287581715,0.08850213001867507,0.5466906618676265,1.0,False
